sid,orig_text,post_text
668,MỞ NHẠC THƯ GIÃN TRONG HAI TIẾNG,MỞ NHẠC THƯ GIÃN TRONG 2 TIẾNG
669,THỜI TIẾT BA NGÀY TIẾP THEO Ở ĐÀ NẴNG,THỜI TIẾT 3 NGÀY TIẾP THEO Ở ĐÀ NẴNG
670,THỜI TIẾT NGÀY BA MƯƠI THÁNG TƯ NĂM HAI KHÔNG HAI MƯƠI HAI Ở SA PA NHƯ THẾ NÀO,THỜI TIẾT NGÀY 30 THÁNG 4 NĂM HAI KHÔNG HAI MƯƠI HAI Ở SA PA NHƯ THẾ NÀO
671,NHẮC TÔI ĐI TẬP THỂ DỤC MỖI MƯỜI TÁM GIỜ HẰNG NGÀY,NHẮC TÔI ĐI TẬP THỂ DỤC MỖI 18 GIỜ HẰNG NGÀY
672,NHẮC TÔI GỌI ĐIỆN CHO BÀ MỖI MƯỜI CHÍN GIỜ TỐI THỨ SÁU HÀNG TUẦN,NHẮC TÔI GỌI ĐIỆN CHO BÀ MỖI 19 GIỜ TỐI THỨ SÁU HÀNG TUẦN
673,NGÀY HAI MƯƠI LĂM THÁNG TƯ NHẮC TÔI THANH TOÁN TIỀN ĐIỆN,NGÀY 25 THÁNG 4 NHẮC TÔI THANH TOÁN TIỀN ĐIỆN
674,NHẮC TÔI UỐNG NƯỚC MỖI BẢY GIỜ SÁNG HẰNG NGÀY,NHẮC TÔI UỐNG NƯỚC MỖI 7 GIỜ SÁNG HẰNG NGÀY
675,XÓA NHẮC NHỞ ĐI NGỦ LÚC MƯỜI HAI GIỜ,XÓA NHẮC NHỞ ĐI NGỦ LÚC 12 GIỜ
676,ĐỌC LẠI NHẮC NHỞ CHIỀU NAI,ĐỌC LẠI NHẮC NHỞ CHIỀU NAI
677,NHẮC TÔI ĐI NGỦ LÚC MƯỜI HAI GIỜ,NHẮC TÔI ĐI NGỦ LÚC 12 GIỜ
678,NHẮC TÔI ĂN CƠM LÚC MƯỜI GIỜ,NHẮC TÔI ĂN CƠM LÚC 10 GIỜ
679,GỌI TÔI DẬY LÚC MƯỜI LĂM GIỜ,GỌI TÔI DẬY LÚC 15 GIỜ
680,BẬT BÁO THỨC LÚC TÁM GIỜ SÁNG,BẬT BÁO THỨC LÚC 8 GIỜ SÁNG
681,TẮT BÓT CÁT,TẮT BÓT CÁT
682,ĐỌC SÁCH HẠT DỐNG TÂM HỒN,ĐỌC SÁCH HẠT DỐNG TÂM HỒN
683,MỞ BÓT CÁT,MỞ BÓT CÁT
684,BẬT RA ĐI Ô LÚC SÁU GIỜ SÁNG,BẬT RA ĐI Ô LÚC 6 GIỜ SÁNG
685,TẮT RA ĐI Ô,TẮT RA ĐI Ô
686,MỞ KÊNH VI EN ÍT RÉT,MỞ KÊNH VI EN ÍT RÉT
687,TÌNH HÌNH DỊCH CÔ VÍT,TÌNH HÌNH DỊCH CÔ VÍT
688,TÌNH HÌNH NGA U RAI NA,TÌNH HÌNH NGA U RAI NA
689,BẬT RA ĐI Ô,BẬT RA ĐI Ô
690,BA MƯƠI THÁNG TƯ LÀ THỨ MẤY,30 THÁNG 4 LÀ THỨ MẤY
691,GIỖ TỔ HÙNG VƯƠNG RƠI VÀO THỨ MẤY,GIỖ TỔ HÙNG VƯƠNG RƠI VÀO THỨ MẤY
692,MẤY NGÀY NỮA TỚI MÙNG MƯỜI THÁNG BA ÂM LỊCH,MẤY NGÀY NỮA TỚI MÙNG MƯỜI THÁNG 3 ÂM LỊCH
693,MỞ TI VI,MỞ TI VI
694,KỂ TRUYỆN TRONG MỘT GIỜ,KỂ TRUYỆN TRONG 1 GIỜ
695,CHỈNH ĐIỀU HÒA HAI MƯƠI SÁU ĐỘ,CHỈNH ĐIỀU HÒA 26 ĐỘ
696,MỞ BÀI BÂY BI SẮT MƯỜI LẦN,MỞ BÀI BÂY BI SẮT MƯỜI LẦN
697,MỞ BÀI BÂY BI SẮT,MỞ BÀI BÂY BI SẮT
698,MỞ NHẠC BÔ LÊ RÔ TRONG NỬA TIẾNG,MỞ NHẠC BÔ LÊ RÔ TRONG NỬA TIẾNG
699,PHÁT NHẠC BÔ LÊ RÔ,PHÁT NHẠC BÔ LÊ RÔ
700,MỞ BÀI ĐỪNG HỎI EM VÌ XAO CỦA MỸ TÂM,MỞ BÀI ĐỪNG HỎI EM VÌ XAO CỦA MỸ TÂM
701,TÓM TẮT THẾ CHIẾN HAI,TÓM TẮT THẾ CHIẾN HAI
702,LƯỢNG MUỐI TỐI ĐA MỘT NGÀY ĐƯỢC DÙNG LÀ BAO NHIÊU,LƯỢNG MUỐI TỐI ĐA MỘT NGÀY ĐƯỢC DÙNG LÀ BAO NHIÊU
703,TRONG MỘT TRÁI TÁO CÓ BAO NHIÊU KÍ LÔ CA LO,TRONG 1 TRÁI TÁO CÓ BAO NHIÊU KÍ LÔ CA LO
704,BẮT MÁI,BẮT MÁI
705,SÁU TỚI TÁM GIỜ TỐI NAY CÓ MƯA KHÔNG,SÁU TỚI 8 GIỜ TỐI NAY CÓ MƯA KHÔNG
706,NĂM NGÀY NỮA ĐÀ LẠT THỜI TIẾT SAO,NĂM NGÀY NỮA ĐÀ LẠT THỜI TIẾT SAO
707,BẢO CÓ ĐI QUA TỈNH LONG AN KHÔNG,BẢO CÓ ĐI QUA TỈNH LONG AN KHÔNG
708,CHÍN GIỜ SÁNG TÁM GIỜ TỐI NHẮC TAO UỐNG THUỐC,9 GIỜ SÁNG 8 GIỜ TỐI NHẮC TAO UỐNG THUỐC
709,NHỚ BA MƯƠI PHÚT NỮA GỌI TAO DẬY NHA,NHỚ BA MƯƠI PHÚT NỮA GỌI TAO DẬY NHA
710,BA MƯƠI THÁNG NÀY LỊCH TAO SAO,30 THÁNG NÀY LỊCH TAO SAO
711,BA THÁNG TỚI NHẮC TAO THAY NHỚT XE,BA THÁNG TỚI NHẮC TAO THAY NHỚT XE
712,KEN XỒ LỊCH HÔM NAY,KEN XỒ LỊCH HÔM NAY
713,XÓA DÙM TAO LỊCH HÔM NAY,XÓA DÙM TAO LỊCH HÔM NAY
714,MÙNG NĂM THÁNG CHẠP ÂM LỊCH ĐÁM GIỖ ÔNG NỘI,MÙNG NĂM THÁNG CHẠP ÂM LỊCH ĐÁM GIỖ ÔNG NỘI
715,CỨ MỖI BA NGÀY NHẮC TAO TƯỚI CÂY KIM NGÂN,CỨ MỖI BA NGÀY NHẮC TAO TƯỚI CÂY KIM NGÂN
716,SÁU GIỜ SÁNG HÀNG NGÀY GỌI TAO DẬY ĐI LÀM,6 GIỜ SÁNG HÀNG NGÀY GỌI TAO DẬY ĐI LÀM
717,DANH SÁCH BÓT CÁT ĐƯỢC NGHE NHIỀU NHẤT THÁNG NÀY,DANH SÁCH BÓT CÁT ĐƯỢC NGHE NHIỀU NHẤT THÁNG NÀY
718,PHÁT TẬP MỚI NHẤT BÓT CÁT VẬT VỜ TU ĐI Ô,PHÁT TẬP MỚI NHẤT BÓT CÁT VẬT VỜ TU ĐI Ô
719,CÓ BÓT CÁT VIỆT SỬ KIÊU HÙNG KHÔNG,CÓ BÓT CÁT VIỆT SỬ KIÊU HÙNG KHÔNG
720,TIN HÓT TRONG NGÀY,TIN HÓT TRONG NGÀY
721,BẬT RA ĐI Ô,BẬT RA ĐI Ô
722,DANH SÁCH CÁC ĐỘI VÒNG MỘT TÁM CÚP XÊ MỘT,DANH SÁCH CÁC ĐỘI VÒNG 18 CÚP XÊ 1
723,TỈ SỐ TRẬN VIỆT NAM Ô MAN,TỈ SỐ TRẬN VIỆT NAM Ô MAN
724,CẬP NHẬT MỚI NHẤT NGA U RAI NA,CẬP NHẬT MỚI NHẤT NGA U RAI NA
725,TẮT RA ĐI Ô ĐI,TẮT RA ĐI Ô ĐI
726,TÌNH HÌNH CÔ VÍCH HÔM NAY,TÌNH HÌNH CÔ VÍCH HÔM NAY
727,VÊ Ô VÊ DAO THÔNG,VÊ Ô VÊ DAO THÔNG
728,ÉP EM CHÍN MƯƠI CHÍN MÊ GA HẸC,ÉP EM 90 CHÍN MÊ GA HẸC
729,HAI MƯƠI THÁNG MƯỜI LÀ NGÀY GÌ,20 THÁNG MƯỜI LÀ NGÀY GÌ
730,MÙNG BỐN THÁNG BA ÂM LỊCH LÀ THỨ MẤY,MÙNG BỐN THÁNG BA ÂM LỊCH LÀ THỨ MẤY
731,MÙNG BỐN THÁNG BA ÂM LỊCH LÀ NGÀY MẤY DƯƠNG,MÙNG BỐN THÁNG BA ÂM LỊCH LÀ NGÀY MẤY DƯƠNG
732,MÚI GIỜ Ở BẸC LIN LÀ MÚI GIỜ NÀO,MÚI GIỜ Ở BẸC LIN LÀ MÚI GIỜ NÀO
733,TÁM THÁNG MƯỜI HAI NĂM MỘT CHÍN CHÍN LĂM LÀ NGÀY MẤY ÂM LỊCH,8 THÁNG 12 NĂM 1995 LÀ NGÀY MẤY ÂM LỊCH
734,LỚN HAI NẤC NỮA,LỚN HAI NẤC NỮA
735,BẬT LU TÚT,BẬT LU TÚT
736,MỘT TRUYỆN NỮA NHA,MỘT TRUYỆN NỮA NHA
737,CHỈNH MÁY LẠNH LÊN HAI MƯƠI SÁU ĐỘ,CHỈNH MÁY LẠNH LÊN 26 ĐỘ
738,MỞ BÀI ĐẾ DƯƠNG ĐẾN BẢY GIỜ TỐI,MỞ BÀI ĐẾ DƯƠNG ĐẾN 7 GIỜ TỐI
739,BẬT BÀI TÓP MỘT TREN ĐINH,BẬT BÀI TÓP MỘT TREN ĐINH
740,BẬT NHỎ LẠI HAI NẤC NỮA,BẬT NHỎ LẠI 2 NẤC NỮA
741,QUẤT MỘT BÀI NHẠC XUÂN ĐI EM,QUẤT MỘT BÀI NHẠC XUÂN ĐI EM
742,LƯỢNG MƯA CỦA HUẾ NGÀY MƯỜI HAI THÁNG TƯ,LƯỢNG MƯA CỦA HUẾ NGÀY 12 THÁNG 4
743,NHIỆT ĐỘ CỦA HUẾ NGÀY MƯỜI HAI ĐẾN MƯỜI BỐN THÁNG TƯ,NHIỆT ĐỘ CỦA HUẾ NGÀY 10 HAI ĐẾN 14 THÁNG 4
744,NHIỆT ĐỘ CỦA HUẾ NGÀY MƯỜI HAI ĐẾN MƯỜI BỐN THÁNG TƯ,NHIỆT ĐỘ CỦA HUẾ NGÀY 10 HAI ĐẾN 14 THÁNG 4
745,THỜI TIẾT CỦA HUẾ NGÀY MƯỜI HAI ĐẾN MƯỜI BỐN THÁNG TƯ,THỜI TIẾT CỦA HUẾ NGÀY 10 HAI ĐẾN 14 THÁNG 4
746,THỜI TIẾT CỦA HUẾ THÁNG TƯ,THỜI TIẾT CỦA HUẾ THÁNG 4
747,HÔM NAY LÚC MƯỜI GIỜ CÓ MƯA KHÔNG,HÔM NAY LÚC 10 GIỜ CÓ MƯA KHÔNG
748,HÔM NAY LÚC MƯỜI GIỜ TẠI QUẬN BA THÀNH PHỐ HỒ CHÍ MINH CÓ MƯA KHÔNG,HÔM NAY LÚC 10 GIỜ TẠI QUẬN 3 THÀNH PHỐ HỒ CHÍ MINH CÓ MƯA KHÔNG
749,MỖI NGÀY NHẮC TÔI TẬP THỂ DỤC LÚC BẢY GIỜ TỐI,MỖI NGÀY NHẮC TÔI TẬP THỂ DỤC LÚC 7 GIỜ TỐI
750,NHẮC TÔI ĐẶT CƠM LÚC MƯỜI MỘT GIỜ,NHẮC TÔI ĐẶT CƠM LÚC 11 GIỜ
751,TẮT BÁO THỨC LÚC SÁU GIỜ BỐN MƯƠI LĂM SÁNG,TẮT BÁO THỨC LÚC 6 GIỜ 45 SÁNG
752,XÓA NHẮC NHỞ LÚC MƯỜI GIỜ XOÁ NHẮC NHỞ UỐNG NƯỚC,XÓA NHẮC NHỞ LÚC 10 GIỜ XOÁ NHẮC NHỞ UỐNG NƯỚC
753,TÔI ĐANG CÓ NHỮNG NHẮC NHỞ NÀO,TÔI ĐANG CÓ NHỮNG NHẮC NHỞ NÀO
754,BA MƯƠI PHÚT MỘT LẦN NHẮC TÔI UỐNG NƯỚC,30 PHÚT MỘT LẦN NHẮC TÔI UỐNG NƯỚC
755,MƯỜI PHÚT NỮA NHẮC TÔI ĐẶT CƠM,10 PHÚT NỮA NHẮC TÔI ĐẶT CƠM
756,ĐẶT BÁO THỨC LÚC SÁU GIỜ BỐN MƯƠI LĂM SÁNG,ĐẶT BÁO THỨC LÚC 6 GIỜ 45 SÁNG
757,MỞ RA ĐI Ô CHỈ TÌNH THƯƠNG Ở LẠI SỐ THỨ HAI,MỞ RA ĐI Ô CHỈ TÌNH THƯƠNG Ở LẠI SỐ THỨ HAI
758,MỞ RA ĐI Ô CHỈ TÌNH THƯƠNG Ở LẠI,MỞ RA ĐI Ô CHỈ TÌNH THƯƠNG Ở LẠI
759,AI ĐANG ĐỌC O ĐI Ô NÀY,AI ĐANG ĐỌC O ĐI Ô NÀY
760,MỞ BỐT CÁT,MỞ BỐT CÁT
761,CHUYỂN KÊNH THỂ THAO,CHUYỂN KÊNH THỂ THAO
762,TẮT RA ĐI Ô,TẮT RA ĐI Ô
763,MỞ RA ĐI Ô LÚC BẢY GIỜ,MỞ RA ĐI Ô LÚC 7 GIỜ
764,MỞ TIN VỀ TỔNG THỐNG BAI ĐẦN,MỞ TIN VỀ TỔNG THỐNG BAI ĐẦN
765,MỞ TIN VIỆT NAM ẸT RÉT,MỞ TIN VIỆT NAM ẸT RÉT
766,BẬT RA ĐI Ô Ở TẦN SỐ,BẬT RA ĐI Ô Ở TẦN SỐ
767,MỞ RA ĐI Ô KÊNH,MỞ RA ĐI Ô KÊNH
768,RẰM THÁNG TÁM LÀ NGÀY MẤY DƯƠNG LỊCH NĂM NAY,RẰM THÁNG TÁM LÀ NGÀY MẤY DƯƠNG LỊCH NĂM NAY
769,TẾT NGUYÊN ĐÁN NĂM HAI KHÔNG HAI MƯƠI BA LÀ NGÀY MẤY DƯƠNG LỊCH,TẾT NGUYÊN ĐÁN NĂM 2020 BA LÀ NGÀY MẤY DƯƠNG LỊCH
770,NGÀY MƯỜI THÁNG BA NĂM HAI KHÔNG HAI MƯƠI HAI DƯƠNG LỊCH LÀ NGÀY MẤY,NGÀY 10 THÁNG 3 NĂM HAI KHÔNG 20 HAI DƯƠNG LỊCH LÀ NGÀY MẤY
771,NGÀY MƯỜI HAI THÁNG HAI NĂM HAI KHÔNG HAI MƯƠI HAI LÀ NGÀY MẤY ÂM LỊCH,NGÀY 12 THÁNG 252022 LÀ NGÀY MẤY ÂM LỊCH
772,MƯỜI BỐN THÁNG HAI LÀ THỨ MẤY,14 THÁNG 2 LÀ THỨ MẤY
773,MƯỜI BỐN THÁNG HAI LÀ NGÀY GÌ,14 THÁNG HAI LÀ NGÀY GÌ
774,MỞ LU TÚT TRONG VÒNG BA MƯƠI PHÚT,MỞ LU TÚT TRONG VÒNG 30 PHÚT
775,TẮT LU TÚT,TẮT LU TÚT
776,MỞ TI VI KÊNH TÁM,MỞ TI VI KÊNH TÁM
777,MỞ LU TÚT,MỞ LU TÚT
778,MỞ TRUYỆN KHÁC,MỞ TRUYỆN KHÁC
779,KỂ CHUYỆN ĐẾN CHÍN GIỜ TỐI,KỂ CHUYỆN ĐẾN CHÍN GIỜ TỐI
780,MỞ TRUYỆN TRINH THÁM TRONG MƯỜI LĂM PHÚT,MỞ TRUYỆN TRINH THÁM TRONG 15 PHÚT
781,TẮT BÁO THỨC LOA HAI,TẮT BÁO THỨC LOA HAI
782,LOA HAI MỞ BÁO THỨC LÚC NĂM GIỜ SÁNG,LOA HAI MỞ BÁO THỨC LÚC 5 GIỜ SÁNG
783,MỞ KỂ CHUYỆN LOA HAI,MỞ KỂ CHUYỆN LOA HAI
784,TẮT NHẠC LOA MỘT,TẮT NHẠC LOA MỘT
785,MỞ NHẠC LOA MỘT,MỞ NHẠC LOA MỘT
786,TĂNG ÂM LƯỢNG LOA MỘT,TĂNG ÂM LƯỢNG LOA MỘT
787,MỞ ĐÈN MỘT PHÒNG NGỦ,MỞ ĐÈN MỘT PHÒNG NGỦ
788,MỞ ĐÈN MỘT,MỞ ĐÈN MỘT
789,MỞ BÀI HƯ TRONG MỘT TIẾNG,MỞ BÀI HƯ TRONG 1 TIẾNG
790,MỞ DANH SÁCH NHẠC PI A NÔ,MỞ DANH SÁCH NHẠC PI A NÔ
791,MỞ BÀI GIẤC MƠ TÌNH YÊU LIÊN TỤC MƯỜI LĂM PHÚT,MỞ BÀI GIẤC MƠ TÌNH YÊU LIÊN TỤC 15 PHÚT
792,CHÍN NGÀN CHÍN TRĂM CHÍN MƯƠI CHÍN GIAI THỪA BẰNG BAO NHIÊU,9999 GIAI THỪA BẰNG BAO NHIÊU
793,NHIỆT ĐỘ TRƯA NAY Ở QUẬN BA LÀ BAO NHIÊU,NHIỆT ĐỘ TRƯA NAY Ở QUẬN 3 LÀ BAO NHIÊU
794,Ở QUẬN BA CHIỀU CÓ MƯA KHÔNG,Ở QUẬN BA CHIỀU CÓ MƯA KHÔNG
795,THỜI TIẾT Ở PHAN THIẾT VÀO BA MƯƠI THÁNG TƯ,THỜI TIẾT Ở PHAN THIẾT VÀO 30 THÁNG 4
796,BÁO THỨC BẢY GIỜ SÁNG,BÁO THỨC 7 GIỜ SÁNG
797,NHẮC TÔI NĂM GIỜ BA MƯƠI CHIỀU RA VỀ,NHẮC TÔI NĂM GIỜ 30 CHIỀU RA VỀ
798,NHẮC TÔI NĂM PHÚT NỮA UỐNG NƯỚC,NHẮC TÔI NĂM PHÚT NỮA UỐNG NƯỚC
799,HUỶ NHẮC NHỞ VỪA NÃY,HUỶ NHẮC NHỞ VỪA NÃY
800,ĐẶT BÁO THỨC LÚC NĂM GIỜ BA MƯƠI CHIỀU,ĐẶT BÁO THỨC LÚC 5 GIỜ 30 CHIỀU
801,NHẮC TÔI ĐI ĐÁNH NHAU LÚC SÁU GIỜ CHIỀU MAI,NHẮC TÔI ĐI ĐÁNH NHAU LÚC 6 GIỜ CHIỀU MAI
802,ĐẶT BÁO THỨC LÚC BẢY GIỜ SÁNG TỪ THỨ HAI ĐẾN THỨ SÁU,ĐẶT BÁO THỨC LÚC 7 GIỜ SÁNG TỪ THỨ 2 ĐẾN THỨ SÁU
803,BÓT CÁT NÀY TÊN GÌ,BÓT CÁT NÀY TÊN GÌ
804,ĐỌC TRUYỆN LỚP NĂM,ĐỌC TRUYỆN LỚP NĂM
805,ĐỌC SÁCH VĂN HỌC LỚP MƯỜI HAI,ĐỌC SÁCH VĂN HỌC LỚP 12
806,MỞ BÓT CÁT SỬ VIỆT,MỞ BÓT CÁT SỬ VIỆT
807,MỞ BỐT CÁT ĐỌC TRUYỆN ĐÊM KHUYA,MỞ BỐT CÁT ĐỌC TRUYỆN ĐÊM KHUYA
808,MAI KA CÓ NHỮNG BỐT CÁT NÀO,MAI KA CÓ NHỮNG BỐT CÁT NÀO
809,MAI CA CÓ NHỮNG SÁCH NÀO,MAI CA CÓ NHỮNG SÁCH NÀO
810,MỞ BỐT CÁT,MỞ BỐT CÁT
811,MỞ RA ĐI Ô TỚI MƯỜI GIỜ ĐÊM,MỞ RA ĐI Ô TỚI 10 GIỜ ĐÊM
812,TẮT RA ĐI Ô,TẮT RA ĐI Ô
813,MỞ TIN TỨC CỦA LINH MƯỜI BỐN TỶ,MỞ TIN TỨC CỦA LINH 14 TỶ
814,MỞ TIN TỨC NGÀY MÙNG MỘT ÂM LỊCH,MỞ TIN TỨC NGÀY MÙNG MỘT ÂM LỊCH
815,BẬT RA ĐI Ô TẦN SỐ CHÍN MƯƠI CHÍN CHẤM CHÍN MÊ GA HÉT,BẬT RA ĐI Ô TẦN SỐ 99 CHẤM CHÍN MÊ GA HÉT
816,BẬT RA ĐI Ô KÊNH VÊ Ô VÊ GIAO THÔNG,BẬT RA ĐI Ô KÊNH VÊ Ô VÊ GIAO THÔNG
817,TẾT HAI NGÀN KHÔNG TRĂM BỐN MƯƠI BA LÀ NGÀY NÀO,TẾT 2043 LÀ NGÀY NÀO
818,NGÀY MƯỜI MỘT THÁNG MƯỜI MỘT NĂM HAI KHÔNG MƯỜI MỘT LÀ NGÀY MẤY ÂM LỊCH,NGÀY 11 THÁNG 11 NĂM HAI KHÔNG 11 LÀ NGÀY MẤY ÂM LỊCH
819,BAO GIỜ ĐẾN NÔ EN,BAO GIỜ ĐẾN NÔ EN
820,KẾT NỐI LU TÚT,KẾT NỐI LU TÚT
821,TẮT LU TÚT,TẮT LU TÚT
822,TĂNG ÂM LƯỢNG MỘT MỨC,TĂNG ÂM LƯỢNG 1 MỨC
823,BẬT LU TÚT,BẬT LU TÚT
824,KỂ CHÍN TRĂM CHÍN MƯƠI CHÍN TRUYỆN CỔ TÍCH,KỂ 999 TRUYỆN CỔ TÍCH
825,KỂ CHÍN TRĂM CHÍN MƯƠI CHÍN TRUYỆN MA,KỂ 990 CHÍN TRUYỆN MA
826,BẬT QUẠT MỨC HAI,BẬT QUẠT MỨC 2
827,MỞ MÁY LẠNH HAI MƯƠI SÁU ĐỘ,MỞ MÁY LẠNH 26 ĐỘ
828,MỞ NHẠC NAM PHI TRONG HAI MƯƠI BỐN TIẾNG,MỞ NHẠC NAM PHI TRONG 24 TIẾNG
829,MỞ NHẠC ĐÀI LOAN RÌ MÍT,MỞ NHẠC ĐÀI LOAN RÌ MÍT
830,MỞ NHẠC RÌ MÍT,MỞ NHẠC RÌ MÍT
831,MỞ NHẠC TÍT TÓC,MỞ NHẠC TÍT TÓC
832,QUÊ HƯƠNG CỦA NÔ BI TA Ở ĐÂU,QUÊ HƯƠNG CỦA NÔ BI TA Ở ĐÂU
833,TRIỆU CHỨNG HẬU CÔ VÍT,TRIỆU CHỨNG HẬU CÔ VÍT
834,TÁM BÌNH CỘNG MƯỜI HAI BẰNG BAO NHIÊU,8 BÌNH CỘNG 12 BẰNG BAO NHIÊU
835,NHIỆT ĐỘ NGOÀI TRỜI QUẬN BA HIỆN TẠI LÀ BAO NHIÊU,NHIỆT ĐỘ NGOÀI TRỜI QUẬN 3 HIỆN TẠI LÀ BAO NHIÊU
836,THỜI TIẾT QUẬN BA BÂY GIỜ,THỜI TIẾT QUẬN 3 BÂY GIỜ
837,NHẮC TÔI ĐEM ÁO MƯA VÀO TÁM GIỜ SÁNG MAI,NHẮC TÔI ĐEM ÁO MƯA VÀO 8 GIỜ SÁNG MAI
838,NHẮC TÔI BỎ ĐỒ VÀO MÁY GIẶT LÚC MƯỜI GIỜ,NHẮC TÔI BỎ ĐỒ VÀO MÁY GIẶT LÚC 10 GIỜ
839,NHẮC TÔI HỌC TIẾNG ANH VÀO LÚC TÁM GIỜ TỐI,NHẮC TÔI HỌC TIẾNG ANH VÀO LÚC 8 GIỜ TỐI
840,NHẮC TÔI ĂN TRƯA SAU HAI MƯƠI PHÚT NỮA,NHẮC TÔI ĂN TRƯA SAU 20 PHÚT NỮA
841,NHẮC TÔI ĐI CHƠI VÀO LÚC CHÍN GIỜ,NHẮC TÔI ĐI CHƠI VÀO LÚC 9 GIỜ
842,NHẮC TÔI NẤU CƠM VÀO LÚC MƯỜI MỘT GIỜ,NHẮC TÔI NẤU CƠM VÀO LÚC 11 GIỜ
843,NHẮC TÔI CÓ HẸN VÀO LÚC BẢY GIỜ TỐI NAY,NHẮC TÔI CÓ HẸN VÀO LÚC 7 GIỜ TỐI NAY
844,BA MƯƠI PHÚT NỮA NHẮC TÔI PHƠI ĐỒ,30 PHÚT NỮA NHẮC TÔI PHƠI ĐỒ
845,NHẮC TÔI ĐI TẬP THỂ DỤC VÀO LÚC TÁM GIỜ TỐI NAY,NHẮC TÔI ĐI TẬP THỂ DỤC VÀO LÚC 8 GIỜ TỐI NAY
846,NHẮC TÔI ĐI NGỦ VÀO LÚC MƯỜI MỘT GIỜ ĐÊM NAY,NHẮC TÔI ĐI NGỦ VÀO LÚC 11 GIỜ ĐÊM NAY
847,GỌI TÔI DẬY VÀO LÚC BẢY GIỜ NGÀY MAI,GỌI TÔI DẬY VÀO LÚC 7 GIỜ NGÀY MAI
848,MỞ BÓT CÁT GIẢI TRÍ,MỞ BÓT CÁT GIẢI TRÍ
849,MỞ BÓT CÁT THÌ THẦM,MỞ BÓT CÁT THÌ THẦM
850,BẬT RÂY ĐI Ô TẦN SỐ ÉP EM CHÍN BẢY MÊ GA HÉC,BẬT RÂY ĐI Ô TẦN SỐ ÉP EM 97 MÊ GA HÉC
851,MỞ RA ĐI Ô,MỞ RA ĐI Ô
852,THÁNG NÀY CÓ BA MỐT NGÀY KHÔNG,THÁNG NÀY CÓ 31 NGÀY KHÔNG
853,HAI NGÀY TRƯỚC LÀ NGÀY BAO NHIÊU,2 NGÀY TRƯỚC LÀ NGÀY BAO NHIÊU
854,TẾT NGUYÊN ĐÁN HAI KHÔNG HAI BA NGÀY DƯƠNG BAO NHIÊU,TẾT NGUYÊN ĐÁN 2023 NGÀY DƯƠNG BAO NHIÊU
855,BA MƯƠI THÁNG TƯ HAI KHÔNG HAI HAI LÀ THỨ MẤY,30 THÁNG 4 2022 LÀ THỨ MẤY
856,TẮT BỜ LU TÚT,TẮT BỜ LU TÚT
857,GIẢM ÂM LƯỢNG VỀ MỨC BỐN,GIẢM ÂM LƯỢNG VỀ MỨC 4
858,TĂNG ÂM LƯỢNG LÊN MỨC MƯỜI,TĂNG ÂM LƯỢNG LÊN MỨC 10
859,BẬT BỜ LU TÚT,BẬT BỜ LU TÚT
860,TẮT KỂ TRUYỆN SAU BA MƯƠI PHÚT,TẮT KỂ TRUYỆN SAU 30 PHÚT
861,KỂ TRUYỆN CỔ TÍCH TRONG MỘT GIỜ,KỂ TRUYỆN CỔ TÍCH TRONG 1 GIỜ
862,TẮT TIẾNG TI VI PHÒNG KHÁCH,TẮT TIẾNG TI VI PHÒNG KHÁCH
863,GIẢM NHIỆT ĐỘ MÁY LẠNH HAI ĐỘ,GIẢM NHIỆT ĐỘ MÁY LẠNH 2 ĐỘ
864,CHỈNH NHIỆT ĐỘ MÁY LẠNH HAI BỐN ĐỘ,CHỈNH NHIỆT ĐỘ MÁY LẠNH 24 ĐỘ
865,TẮT NHẠC SAU MỘT GIỜ,TẮT NHẠC SAU 1 GIỜ
866,MỞ NHẠC KHÔNG LỜI TRONG HAI MƯƠI PHÚT,MỞ NHẠC KHÔNG LỜI TRONG 20 PHÚT
867,MỞ NHẠC RÌ MÍT,MỞ NHẠC RÌ MÍT
868,TÁC HẠI CỦA VIỆC XEM TI VI QUÁ NHIỀU,TÁC HẠI CỦA VIỆC XEM TI VI QUÁ NHIỀU
869,LỢI ÍCH CỦA SỮA MẸ,LỢI ÍCH CỦA SỮA MẸ
870,MƯỜI BẢY NHÂN TÁM LĂM BẰNG BAO NHIÊU,17 NHÂN 85 BẰNG BAO NHIÊU
871,THỜI TIẾT QUẬN BA CHIỀU NAY,THỜI TIẾT QUẬN 3 CHIỀU NAY
872,THỜI TIẾT QUẬN BA,THỜI TIẾT QUẬN 3
873,ĐẶT BÁO THỨC CHÍN GIỜ TỐI,ĐẶT BÁO THỨC 9 GIỜ TỐI
874,GỌI TÔI LÚC BẢY GIỜ TỐI,GỌI TÔI LÚC 7 GIỜ TỐI
875,NHẮC TÔI NĂM PHÚT NỮA TẮT BẾP,NHẮC TÔI NĂM PHÚT NỮA TẮT BẾP
876,NHẮC TÔI KHÓA CỬA LÚC CHÍN GIỜ TỐI,NHẮC TÔI KHÓA CỬA LÚC 9 GIỜ TỐI
877,NHẮC TÔI LÚC BẢY GIỜ SÁNG HÀNG NGÀY,NHẮC TÔI LÚC 7 GIỜ SÁNG HÀNG NGÀY
878,NHẮC TÔI NGÀY MƯỜI LĂM THÁNG HAI ĐẶT VÉ XE,NHẮC TÔI NGÀY 15 THÁNG 2 ĐẶT VÉ XE
